Lote,Turbidez_min,Turbidez_mean,Turbidez_max,Viabilidad_min,Viabilidad_mean,Viabilidad_max,Glucosa_min,Glucosa_mean,Glucosa_max
23019,17.28,46.352,91.2,8333333.33333336,94979999.99999997,185333333.3333336,0.2056,1.4397600000000002,1.968
23020,18.8,46.992000000000004,91.2,7456000.0,483321599.9999998,4036266666.666664,0.3128,1.4712800000000001,1.944
23021,16.16,40.378181818181815,86.4,8906666.66666664,93886060.60606061,245066666.6666664,0.2824,1.556581818181818,2.04
23022,18.48,40.53818181818182,83.2,7853333.333333336,102081212.1212122,228800000.0,0.36640000000000006,1.6042181818181818,2.048
23023,17.12,45.846666666666664,81.60000000000001,5802666.666666664,105785777.7777779,212000000.0,0.4592,1.416933333333333,2.192
23024,16.56,46.02181818181818,80.80000000000001,6802666.666666664,114070545.45454541,243200000.0,0.4320000000000001,1.4755636363636369,2.16
23025,17.2,46.488,87.2,6266666.666666664,101728000.00000006,203466666.6666664,0.21040000000000003,1.40584,1.968
23026,18.0,43.856,81.2,5306666.666666664,95541333.33333339,206400000.0,0.408,1.4888,2.112
23027,16.880000000000003,36.5008,68.08,5525333.333333336,95775200.0,218400000.0,0.8400000000000001,1.6680000000000004,1.896
23028,18.56,37.64,67.2,5146666.666666664,95581600.00000006,207733333.3333336,0.912,1.7128,1.872
23029,16.96,44.008,85.60000000000001,5552000.0,89525866.66666666,262666666.6666664,0.22480000000000003,1.7288799999999998,1.896
23030,19.36,43.456,81.60000000000001,5440000.0,89824000.00000003,178933333.3333336,0.0888,1.71528,1.896
23031,18.64,43.888,85.60000000000001,5336000.0,77109599.99999994,190666666.6666664,0.34400000000000003,1.7408000000000001,1.896
23032,18.240000000000002,42.232,78.4,5437333.333333336,86730399.99999994,195733333.3333336,0.4,1.7464,1.896
23033,17.84,42.326666666666675,72.48,5706666.666666664,123351111.11111104,251466666.6666664,0.8560000000000001,1.5559999999999998,1.912
23034,16.32,40.153333333333336,69.12,5522666.666666664,110746666.66666663,227466666.6666664,0.8560000000000001,1.2380000000000002,2.016
23035,17.76,37.693333333333335,66.4,4237333.333333336,98379333.3333333,191466666.6666664,0.6320000000000001,1.148,2.016
23036,16.400000000000002,40.03333333333334,65.92,4845333.333333336,90341555.55555563,188800000.0,0.68,1.618666666666667,2.3120000000000003
23038,15.280000000000001,39.348571428571425,67.92,7728000.0,95391999.99999997,174400000.0,0.32000000000000006,0.8897142857142858,1.592
23039,17.84,41.92615384615385,67.2,7824000.0,87176205.12820503,154666666.6666664,0.808,1.6190769230769233,2.352
23040,13.92,20.639999999999997,32.32,4296000.0,67619047.61904758,165600000.0,1.2480000000000002,1.3874285714285715,1.512
23041,15.600000000000001,43.512727272727275,79.36000000000001,6850666.666666664,109250666.66666666,260266666.6666664,0.0,1.1330909090909091,1.6800000000000002
23042,15.280000000000001,41.82,68.96000000000001,5864000.0,112677555.55555551,222666666.6666664,0.512,1.5053333333333334,2.304
23044,14.880000000000003,32.75428571428572,56.48,2778666.666666664,78533714.2857143,163200000.0,1.152,1.6845714285714286,2.112
23043,16.240000000000002,42.080000000000005,64.96000000000001,4328000.0,92302769.2307693,188000000.0,0.464,1.5476923076923075,2.336
23045,16.72,43.978181818181824,72.8,4754666.666666664,91039515.1515152,186400000.0,0.5519999999999999,1.5658181818181822,2.28
23046,14.080000000000002,40.952000000000005,71.60000000000001,4386666.666666664,96510133.33333333,203466666.6666664,0.48,1.4400000000000002,2.184
23047,18.72,43.35272727272728,72.08,4312000.0,86462545.45454559,172533333.3333336,0.7440000000000001,1.5701818181818183,2.184
