Lote,CantidadEntregada
23019,13.8
23020,13.6
23021,13.5
23022,13.8
23023,13.7
23024,13.7
23025,13.7
23026,13.8
23027,13.7
23028,13.7
23029,13.7
23030,13.9
23031,13.8
23032,13.7
23033,13.8
23034,13.8
23035,13.8
23036,13.7
23038,14.0
23039,13.7
23040,13.8
23041,13.8
23042,13.7
23043,13.7
23044,13.7
23045,13.8
23046,13.7
23047,13.8
23048,13.8
23049,13.7
23050,13.8
23051,13.7
23054,13.7
23055,13.7
23057,13.7
23056,13.7
23061,13.7
23060,13.9
23063,13.7
23064,13.8
23065,13.8
23067,13.8
23068,13.8
23069,13.7
23070,13.6
23071,13.8
23072,13.8
23073,13.9
23075,13.9
23076,13.8
23077,13.7
23078,13.7
23079,13.8
23080,13.7
23082,13.7
23083,13.6
23084,13.8
23081,13.8
23085,13.9
23086,14.0
23087,13.8
23088,13.7
23089,13.7
23090,13.7
23091,13.8
23092,13.8
23093,13.7
23094,13.7
23095,13.7
23096,13.3
23097,13.5
23098,13.8
23099,13.8
23100,13.7
23101,13.6
23102,13.6
23103,13.6
23106,13.7
23107,13.7
23105,13.7
23104,13.5
23108,13.6
23109,13.6
23110,13.7
23111,13.7
23112,13.7
23113,13.5
23114,13.6
23115,13.9
23116,13.8
23117,13.6
23121,13.6
23118,13.7
23119,13.6
23120,13.7
23122,13.6
23123,13.8
23126,13.6
23127,13.6
23124,13.7
23125,13.5
23130,13.6
23129,13.7
23134,13.4
23131,13.6
23135,13.8
23132,13.6
23133,13.7
23136,13.76
23137,13.75
23138,13.77
23139,13.72
24003,12.48
24004,13.69
24005,13.55
24007,13.68
24008,13.75
24010,13.66
24009,13.77
24011,13.82
24012,13.69
24014,13.55
24015,13.54
24016,13.72
24017,13.86
24020,13.63
24019,13.74
24021,13.54
24022,13.8
24023,13.77
24025,13.75
24027,13.6
24028,13.31
24031,13.7
24035,13.7
24036,13.74
24037,13.76
24038,13.89
24040,13.59
24041,13.81
24042,13.78
24045,13.71
24046,13.71
24044,13.75
24049,13.57
24050,13.63
24047,13.72
24051,13.83
24053,13.75
24052,13.78
24054,13.46
24055,13.69
24056,13.85
24057,13.53
24059,13.67
24058,13.57
24062,13.4
24060,13.48
24061,13.49
24063,13.67
24064,13.36
24065,13.54
24066,13.56
24068,13.46
24069,13.48
24067,13.61
24070,13.59
24071,13.57
24072,13.72
24073,13.72
24074,13.38
24076,13.51
24077,13.72
24078,13.49
24080,13.59
24079,13.6
24081,13.72
24082,13.78
24083,13.75
24084,13.83
24085,13.77
24086,13.67
24087,13.76
24088,13.67
24089,13.67
24090,13.73
24091,13.71
24092,13.56
24093,13.71
24094,13.76
24096,13.64
24095,13.65
24097,13.73
24098,13.65
24099,13.81
24100,13.48
24103,13.64
24101,13.63
24104,13.61
24105,13.82
24108,13.63
24106,13.69
24107,13.45
24109,11.35
24110,13.77
